date,nav,cash,invested,total_deployed,open_count,total_return_pct,spy_value,spy_return_pct,alpha_pct,qqq_value,qqq_return_pct,alpha_vs_qqq_pct
2026-02-22,10000.00,0.00,10000.00,10000.00,2,-0.00,10000.00,0.00,-0.00,10000.00,0.00,-0.00
2026-02-24,9800.54,0.00,9800.54,10000.00,2,-1.99,10069.46,0.69,-2.69,10102.34,1.02,-3.02
2026-02-26,9719.99,0.00,9719.99,10000.00,2,-2.80,10101.26,1.01,-3.81,10130.19,1.30,-4.10
2026-02-27,9606.67,0.00,9606.67,10000.00,2,-3.93,10052.76,0.53,-4.46,10097.77,0.98,-4.91
2026-02-28,9606.67,0.00,9606.67,10000.00,2,-3.93,10052.76,0.53,-4.46,10097.77,0.98,-4.91
2026-03-01,15335.94,0.00,15335.94,15000.00,3,2.24,15079.13,0.53,1.71,15146.66,0.98,1.26
2026-03-02,14973.47,0.00,14973.47,15000.00,3,-0.18,15036.71,0.24,-0.42,15104.50,0.70,-0.87
2026-03-03,15055.75,0.00,15055.75,15000.00,3,0.37,15087.71,0.58,-0.21,15166.61,1.11,-0.74
2026-03-04,15969.21,0.00,15969.21,15000.00,3,6.46,15070.56,0.47,5.99,15233.45,1.56,4.91
2026-03-05,15253.31,0.00,15253.31,15000.00,3,1.69,14976.26,-0.16,1.85,15187.06,1.25,0.44
2026-03-06,15060.13,0.00,15060.13,15000.00,3,0.40,14785.24,-1.43,1.83,14958.60,-0.28,0.68
2026-03-07,15060.13,0.00,15060.13,15000.00,3,0.40,14779.96,-1.47,1.87,14958.60,-0.28,0.68
2026-03-08,15060.13,0.00,15060.13,15000.00,3,0.40,14779.96,-1.47,1.87,14958.60,-0.28,0.68
2026-03-09,54838.78,0.00,54838.78,40000.00,8,37.10,39413.24,-1.47,38.56,39889.59,-0.28,37.37
2026-03-10,56067.00,0.00,56067.00,40000.00,8,40.17,39758.50,-0.60,40.77,40422.34,1.06,39.11
2026-03-13,53033.41,0.00,53033.41,40000.00,8,32.58,38821.79,-2.95,35.53,39488.54,-1.28,33.86
2026-03-24,101896.07,0.00,101896.07,55000.00,11,85.27,55000.00,0.00,85.27,55000.00,0.00,85.27
2026-04-05,57354.65,0.00,57354.65,47254.62,10,21.37,45539.40,-3.63,25.00,46021.62,-2.61,23.98
2026-04-14,81071.16,0.00,81071.16,67254.62,14,20.54,67804.93,0.82,19.73,69128.69,2.79,17.76
2026-04-18,90215.90,0.00,90215.90,67254.62,14,34.14,70180.72,4.35,29.79,72651.24,8.02,26.12
2026-04-27,80131.48,0.00,80131.48,55583.73,13,44.16,80734.92,45.25,-1.09,87893.01,58.13,-13.96
2026-05-02,88980.13,0.00,88980.13,57250.40,13,55.42,83681.33,46.17,9.26,91401.32,59.65,-4.23
2026-05-09,101345.65,0.00,101345.65,57250.40,13,77.02,83158.90,45.25,31.77,93341.31,63.04,13.98
2026-05-11,101345.65,0.00,101345.65,57250.40,13,77.02,83158.90,45.25,31.77,93341.31,63.04,13.98
2026-05-17,99356.14,0.00,99356.14,57250.40,13,73.55,81990.70,43.21,30.33,90783.35,58.57,14.97
2026-05-23,107810.89,0.00,107810.89,57250.40,13,88.31,83137.67,45.22,43.10,91545.65,59.90,28.41
2026-05-30,115154.91,0.00,115154.91,57250.40,13,101.14,84886.97,48.27,52.87,94635.71,65.30,35.84
2026-05-31,110534.52,0.00,110534.52,52630.01,12,110.02,78036.18,48.27,61.75,86998.13,65.30,44.72
2026-06-06,106530.90,0.00,106530.90,52630.01,12,102.41,74368.69,41.30,61.11,80960.87,53.83,48.58
