ticker,entry_date,entry_price,highest_close,stop_pct,theme,timeframe,status,exit_date,exit_price,exit_reason
AIR,2026-02-07,113.09,115.58,20.00,Industrials,daily,OPEN,,,
ALNT,2026-02-07,65.74,68.87,20.00,Technology,daily,OPEN,,,
BILL,2026-02-09,50.75,50.75,20.00,Technology,daily,OPEN,,,
ECG,2026-02-09,101.61,105.16,20.00,Industrials,daily,OPEN,,,
MKSI,2026-02-09,250.60,262.94,20.00,Technology,daily,OPEN,,,
PSIX,2026-02-09,86.43,98.77,20.00,Industrials,daily,OPEN,,,
PWP,2026-02-09,24.34,24.34,20.00,Financial Services,daily,STOPPED,2026-02-14,21.48,Daily BoS Down at $21.48
STNE,2026-02-09,17.99,17.99,20.00,Technology,daily,STOPPED,2026-02-14,16.86,Daily BoS Down at $16.86
TSEM,2026-02-09,147.53,147.53,20.00,Technology,daily,OPEN,,,
WULF,2026-02-09,16.65,16.65,20.00,Financial Services,daily,OPEN,,,
ADTN,2026-02-09,10.40,10.40,20.00,Technology,daily,OPEN,,,
PRIM,2026-02-09,162.61,166.53,20.00,Industrials,daily,OPEN,,,
NKTR,2026-02-10,56.00,73.86,20.00,Healthcare,daily,OPEN,,,
ZURA,2026-02-10,6.44,6.44,20.00,Healthcare,daily,STOPPED,2026-02-17,6.11,Daily BoS Down at $6.11
LGN,2026-02-10,53.46,53.62,20.00,Industrials,daily,STOPPED,2026-02-17,47.60,Daily BoS Down at $47.60
AMKR,2026-02-10,53.46,56.17,20.00,Technology,daily,STOPPED,2026-02-17,46.84,Daily BoS Down at $46.84
CAMT,2026-02-10,154.00,162.00,20.00,Technology,daily,OPEN,,,
RAPP,2026-02-10,28.25,29.99,20.00,Healthcare,daily,OPEN,,,
ONTO,2026-02-10,217.71,225.43,20.00,Technology,daily,OPEN,,,
CSIQ,2026-02-10,21.83,21.83,20.00,Technology,daily,STOPPED,2026-02-17,19.06,Daily BoS Down at $19.06
ADEA,2026-02-10,19.24,19.24,20.00,Technology,daily,OPEN,,,
ALLT,2026-02-10,10.43,10.43,20.00,Technology,daily,OPEN,,,
AEHR,2026-02-11,33.85,33.85,20.00,Technology,daily,OPEN,,,
NG,2026-02-11,11.79,11.79,20.00,Basic Materials,daily,OPEN,,,
KC,2026-02-11,14.43,14.48,20.00,Technology,daily,OPEN,,,
AMRC,2026-02-11,33.69,33.95,20.00,Industrials,daily,OPEN,,,
SGML,2026-02-11,13.62,13.62,20.00,Basic Materials,daily,OPEN,,,
PUMP,2026-02-11,11.62,12.02,20.00,Energy,daily,OPEN,,,
NVMI,2026-02-11,475.83,475.83,20.00,Technology,daily,STOPPED,2026-02-17,442.31,Daily BoS Down at $442.31
FMC,2026-02-11,16.05,16.05,20.00,Basic Materials,daily,STOPPED,2026-02-14,14.34,Daily BoS Down at $14.34
FRMI,2026-02-11,9.52,10.29,20.00,,daily,OPEN,,,
VSAT,2026-02-11,45.33,48.85,20.00,Technology,daily,OPEN,,,
LYEL,2026-02-14,25.84,25.84,20.00,Healthcare,daily,STOPPED,2026-02-19,21.60,Daily BoS Down at $21.60
NTGR,2026-02-14,21.94,21.94,20.00,Technology,daily,OPEN,,,
CRSP,2026-02-14,53.07,54.64,20.00,Healthcare,daily,OPEN,,,
KURA,2026-02-14,8.31,8.58,20.00,Healthcare,daily,OPEN,,,
S,2026-02-14,13.87,13.87,20.00,Technology,daily,OPEN,,,
WYFI,2026-02-16,19.42,19.42,20.00,Technology,daily,OPEN,,,
ETOR,2026-02-16,27.46,33.07,20.00,Financial Services,daily,OPEN,,,
CADL,2026-02-16,5.68,5.95,20.00,Healthcare,daily,OPEN,,,
BEAM,2026-02-16,27.92,27.92,20.00,Healthcare,daily,OPEN,,,
BROS,2026-02-16,53.20,53.57,20.00,Consumer Cyclical,daily,STOPPED,2026-02-17,53.57,Daily BoS Down at $53.57
RIOT,2026-02-16,15.22,16.22,20.00,Financial Services,daily,OPEN,,,
SOC,2026-02-16,8.89,8.93,20.00,Energy,daily,OPEN,,,
LBRT,2026-02-17,26.69,27.13,20.00,Energy,daily,OPEN,,,
NCLH,2026-02-17,24.12,24.35,20.00,Consumer Cyclical,daily,OPEN,,,
ELF,2026-02-17,87.28,91.14,20.00,Consumer Defensive,daily,OPEN,,,
AOSL,2026-02-17,22.71,22.71,20.00,Technology,daily,OPEN,,,
DBRG,2026-02-17,15.41,15.41,20.00,Financial Services,daily,OPEN,,,
RXST,2026-02-17,8.61,8.61,20.00,Healthcare,daily,OPEN,,,
SHOO,2026-02-17,39.43,39.43,20.00,Consumer Cyclical,daily,OPEN,,,
JANX,2026-02-17,13.21,13.42,20.00,Healthcare,daily,OPEN,,,
EH,2026-02-17,12.01,12.34,20.00,Industrials,daily,OPEN,,,
TXG,2026-02-17,18.62,19.57,20.00,Healthcare,daily,OPEN,,,
NBR,2026-02-18,75.20,76.62,20.00,Energy,daily,OPEN,,,
FLR,2026-02-18,50.64,52.86,20.00,Industrials,daily,OPEN,,,
NXT,2026-02-18,124.49,124.49,20.00,Technology,daily,OPEN,,,
CSTM,2026-02-18,25.62,25.82,20.00,Basic Materials,daily,OPEN,,,
VSCO,2026-02-18,62.28,62.28,20.00,Consumer Cyclical,daily,OPEN,,,
UPBD,2026-02-18,20.88,22.20,20.00,Technology,daily,OPEN,,,
BTSG,2026-02-18,41.15,41.15,20.00,Healthcare,daily,OPEN,,,
MATX,2026-02-18,167.47,167.47,20.00,Industrials,daily,OPEN,,,
ONDS,2026-02-18,11.07,11.39,20.00,Technology,daily,OPEN,,,
AESI,2026-02-18,11.91,12.07,20.00,Energy,daily,OPEN,,,
CAPR,2026-02-19,29.15,29.15,20.00,Healthcare,daily,OPEN,,,
BAND,2026-02-19,14.54,14.54,20.00,Technology,daily,OPEN,,,
CZR,2026-02-19,21.89,21.89,20.00,Consumer Cyclical,daily,OPEN,,,
WHD,2026-02-19,58.78,58.78,20.00,Energy,daily,OPEN,,,
FIVN,2026-02-19,17.18,17.18,20.00,Technology,daily,OPEN,,,
MGTX,2026-02-19,7.54,7.54,20.00,Healthcare,daily,OPEN,,,
LUNR,2026-02-19,18.19,18.19,20.00,Industrials,daily,OPEN,,,
DCTH,2026-02-19,9.53,9.53,20.00,Healthcare,daily,OPEN,,,
KYTX,2026-02-19,8.10,8.10,20.00,Healthcare,daily,OPEN,,,
GDYN,2026-02-19,6.99,6.99,20.00,Technology,daily,OPEN,,,
