date,nav,cash,invested,total_deployed,open_count,total_return_pct,spy_value,spy_return_pct,alpha_pct,qqq_value,qqq_return_pct,alpha_vs_qqq_pct
2026-01-09,10035.58,0.00,10035.58,10000.00,2,0.36,10000.00,0.00,0.36,10000.00,0.00,0.36
2026-01-12,10452.61,0.00,10452.61,10000.00,2,4.53,10015.70,0.16,4.37,10008.30,0.08,4.44
2026-01-13,10221.90,0.00,10221.90,10000.00,2,2.22,9995.68,-0.04,2.26,9993.46,-0.07,2.28
2026-01-14,10887.82,0.00,10887.82,10000.00,2,8.88,9946.55,-0.53,9.41,9886.70,-1.13,10.01
2026-01-15,10445.22,0.00,10445.22,10000.00,2,4.45,9973.63,-0.26,4.72,9922.29,-0.78,5.23
2026-01-16,10152.03,0.00,10152.03,10000.00,2,1.52,9965.28,-0.35,1.87,9913.99,-0.86,2.38
2026-01-19,20152.03,0.00,20152.03,20000.00,4,0.76,19930.55,-0.35,1.11,19827.97,-0.86,1.62
2026-01-20,19272.62,0.00,19272.62,20000.00,4,-3.64,19524.83,-2.38,-1.26,19406.69,-2.97,-0.67
2026-01-21,19917.86,0.00,19917.86,20000.00,4,-0.41,19750.17,-1.25,0.84,19669.03,-1.65,1.24
2026-01-22,35017.23,0.00,35017.23,35000.00,7,0.05,34743.32,-0.73,0.78,34671.03,-0.94,0.99
2026-01-23,34862.90,0.00,34862.90,35000.00,7,-0.39,34755.93,-0.70,0.31,34780.50,-0.63,0.24
2026-01-26,39644.66,0.00,39644.66,40000.00,8,-0.89,39922.77,-0.19,-0.70,39924.04,-0.19,-0.70
2026-01-27,40995.58,0.00,40995.58,40000.00,8,2.49,40081.84,0.20,2.28,40285.96,0.71,1.77
2026-01-28,40676.73,0.00,40676.73,40000.00,8,1.69,40077.80,0.19,1.50,40419.37,1.05,0.64
2026-01-29,40356.40,0.00,40356.40,40000.00,8,0.89,39998.27,-0.00,0.90,40177.45,0.44,0.45
2026-01-30,47756.88,0.00,47756.88,50000.00,10,-4.49,49848.72,-0.30,-4.18,49618.60,-0.76,-3.72
2026-02-02,54407.84,0.00,54407.84,55000.00,11,-1.08,55106.18,0.19,-1.27,54955.24,-0.08,-1.00
2026-02-03,55646.16,0.00,55646.16,55000.00,11,1.17,54640.24,-0.65,1.83,54110.91,-1.62,2.79
2026-02-04,51803.96,0.00,51803.96,55000.00,11,-5.81,54375.57,-1.14,-4.68,53165.64,-3.34,-2.48
2026-02-05,49910.85,0.00,49910.85,55000.00,11,-9.25,53696.46,-2.37,-6.88,52400.30,-4.73,-4.53
2026-02-06,90262.33,0.00,90262.33,90000.00,18,0.29,89552.64,-0.50,0.79,87558.45,-2.71,3.00
2026-02-09,92751.84,0.00,92751.84,90000.00,18,3.06,89984.44,-0.02,3.07,0.00,0.00,0.00
2026-02-10,92751.84,0.00,92751.84,90000.00,18,3.06,89984.44,-0.02,3.07,0.00,0.00,0.00
2026-02-11,93373.82,0.00,93373.82,90000.00,18,3.75,89726.40,-0.30,4.05,88055.37,-2.16,5.91
2026-02-12,90511.75,0.00,90511.75,90000.00,18,0.57,88340.23,-1.84,2.41,86264.42,-4.15,4.72
2026-02-13,91808.59,0.00,91808.59,90000.00,18,2.01,88402.47,-1.78,3.78,86448.25,-3.95,5.96
2026-02-14,91808.59,0.00,91808.59,90000.00,18,2.01,88402.47,-1.78,3.78,86448.25,-3.95,5.96
